frame,avg_cold_resistance,avg_heat_resistance,avg_night_vision,avg_temperature_stress,avg_weather_adaptation
0,0.3994914462157881,0.6559115158839894,0.5225018739637983,1.142207938657906,0.26257620344461374
50,0.3584693078906793,0.5922442975196046,0.41445670678829183,1.11403613464056,0.19539062545380864
100,0.35370020312357686,0.5894122430971379,0.4151729168607009,1.0467572509507626,0.1902199387793722
150,0.35935458324287156,0.5802633917867251,0.4094014119185952,1.3212317547604375,0.18950212098216543
200,0.36206516533719063,0.5881311796301655,0.40640684354233214,1.3321955295640961,0.18753879614043956
250,0.3528871522315377,0.5762749751434727,0.40224142077122105,1.3721594738157272,0.17472791949986374
300,0.35493980008557086,0.5870719639906473,0.42476975122577476,1.3063813531803248,0.4578588350549598
350,0.3574188762124522,0.5657341356465126,0.4124634554957491,1.2274001450078613,0.4846037824150975
